community,region,latitude,longitude
Forks,Olympic Peninsula,47.9504,-124.3855
Aberdeen,Southwest Coast,46.9754,-123.8157
Long Beach,Southwest Coast,46.3523,-124.0543
Port Angeles,Olympic Peninsula,48.1181,-123.4307
Bellingham,North Puget Sound,48.7519,-122.4787
Seattle,Central Puget Sound,47.6062,-122.3321
Olympia,South Puget Sound,47.0379,-122.9007
Vancouver,Southwest Interior,45.6280,-122.6739
Spokane,Eastern Washington,47.6588,-117.4260
Wenatchee,Central Washington,47.4235,-120.3103
Yakima,Central Washington,46.6021,-120.5059
Tri-Cities,Southeast Washington,46.2396,-119.1006
Walla Walla,Southeast Washington,46.0646,-118.3430
